codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20688,184,Present,0,2.133759835487581e-11,4.871658632055187e-13,TRUE,0,-6.233038985571201,0.6882769933303162,0.5366440744149482,1,4.4168559053858747e-4,1,1,None,None,x11,SEATS deixa sazonalidade residual (QS),ajustada
20689,184,Present,3.863576125695545e-14,1.6653345369377348e-14,2.55351295663786e-15,TRUE,4.733990977001667e-13,-5.877300750964481,1.1096092117574212,0.5284554653979904,1,1,1,1,None,None,seats,"Q = 1.11 > 1, decomposição X-11 fraca",ajustada
20690,184,None,0.00884153375099972,3.9334292791570746e-5,2.4202614001489486e-5,TRUE,0.005453455575567312,-9.105008087824316,1.2157873253950449,1.2605391367641474,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20691,184,Present,1.6046954839366023e-6,8.22432751901303e-8,1.4277312665456066e-9,TRUE,7.505978061317364e-10,-7.703949019719796,0.8206430204015802,0.6630312633914158,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20692,184,Present,5.2910043736309476e-6,2.8791007466999474e-8,8.971967613291554e-10,TRUE,6.950798236982081e-8,-7.963187912355591,0.8477565239200898,0.5696377261816067,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20693,184,ProbablyNone,0.05288586149068564,8.872808331671367e-4,4.8773300628690563e-5,TRUE,6.899350020752593e-4,-9.70699533007631,1.3193788457067677,1.0068246786059574,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20694,184,Present,0,1.7152254283558932e-8,1.9372811133067103e-9,TRUE,0,-5.2754991851527935,0.7847331766800888,0.43962668534608584,1,0.9916572312056359,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20695,184,ProbablyNone,0.07339736794076746,0.001932881154974364,0.003927849640137704,FALSE,0.0027628336903647854,-7.659713810481477,1.7902995735715135,1.1734441919869056,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20696,184,Present,0,1.3544863008974062e-8,5.916025447305628e-10,TRUE,0,-5.232037421724008,1.119093856577711,0.41418055757101496,1,1,1,1,None,None,seats,"Q = 1.12 > 1, decomposição X-11 fraca",ajustada
20697,184,Present,1.079039412557048e-4,1.0354427393943766e-4,1.4473778555357253e-4,TRUE,0.010333379232598361,-8.349749017163742,1.187837665739359,0.785875348807504,1,1,1,1,None,None,seats,"Q = 1.19 > 1, decomposição X-11 fraca",ajustada
20686,184,Present,0,2.0852497506496093e-10,7.96329668872886e-12,TRUE,0,-4.7802519657487945,0.6184063835197948,0.40010583369616876,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20699,184,Present,3.1361874178181814e-5,1.1073756356339004e-8,1.1971179192382664e-7,TRUE,0.0021065650889600107,-8.325490187634031,0.7404723221137836,0.6739618340821474,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20700,184,Present,0,0,0,TRUE,0,-3.4660028098175673,0.4272999453701873,0.3988426057006046,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20701,184,Present,0,0,0,TRUE,0,-3.918822483120054,0.402717441846559,0.22998288367693423,1,0,1,1,None,None,x11,SEATS deixa sazonalidade residual (QS),ajustada
20702,184,Present,5.480086353714109e-4,1.0520331074848066e-5,1.3959074796288107e-5,TRUE,1.2048046824642e-6,-6.812731263022584,0.5774792690090734,0.5829410967194946,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20703,184,Present,9.937819921423952e-7,2.4366935058584005e-7,3.2933392568601505e-8,TRUE,1.699018703504862e-11,-6.6058426126262395,0.5264180863574205,0.394828952675978,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20704,184,Present,3.327377312567492e-7,9.966264047367446e-8,2.5957691773825786e-8,TRUE,6.2025939939758246e-12,-6.331922212876165,0.539140412351,0.3760116882902893,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20708,184,None,0,8.591144154945773e-5,2.7538634922108507e-5,TRUE,3.9216404801312166e-7,-4.451323765486811,0.9096970190551313,1.1038657021921312,0.8095899534998058,2.2814228284318006e-10,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20712,184,Present,1.3322676295501878e-15,1.4195311592857252e-12,2.453592884421596e-14,TRUE,0,-6.913717603103418,0.5383717592763791,0.45832670302393075,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20713,184,Present,0.008223310261530226,0.1125094062045553,0.03078144321481535,FALSE,0.01840664648055479,-8.659362486665426,0.7176044470296036,0.7563345782781495,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20698,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-3.641525394416093,0.35705033743877806,0.27034043217864273,0.9422536025106372,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20634,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-2.9234470633428953,0.3184941879644743,0.18881326499275122,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20685,184,Present,0,9.547918011776346e-15,1.1102230246251565e-15,TRUE,0,-3.4305367288330326,0.4465434557113963,0.31059152888485464,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20631,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-2.51996002596913,0.2337563323358954,0.1933687708370807,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20632,184,Present,0,0,0,TRUE,0,-1.7663197026649977,0.35763988782038747,0.190647841898684,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20633,184,Present,5.81756864903582e-14,7.019940184704865e-13,2.7133850721838826e-13,TRUE,0,-4.380717366995268,0.24089562707513473,0.25456656437824843,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
