codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,metodo,razao,status
20702,184,Present,5.480086353714109e-4,1.0520331074848066e-5,1.3959074796288107e-5,TRUE,1.2048046824642e-6,-6.812731263022584,0.5986934921399343,0.6330093628904906,1,1,0.991508819664535,0.917573246935455,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20703,184,Present,9.937819921423952e-7,2.4366935058584005e-7,3.2933392568601505e-8,TRUE,1.699018703504862e-11,-6.6058426126262395,0.5464167004966661,0.49941891744530387,0.917969388763,1,0.76372939561978,0.868054548888841,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20704,184,Present,3.327377312567492e-7,9.966264047367446e-8,2.5957691773825786e-8,TRUE,6.2025939939758246e-12,-6.331922212876165,0.5491794522773946,0.4762260125882768,0.871102214717166,1,0.52764217204538,0.992265907899219,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20708,184,None,0,8.591144154945773e-5,2.7538634922108507e-5,TRUE,3.9216404801312166e-7,-4.451323765486811,0.9766878809196806,1.0965609568921109,1,1,0.99297288589486,0.99996807084504,nenhum,teste combinado: None,sem_sazonalidade
20712,184,Present,1.3322676295501878e-15,1.4195311592857252e-12,2.453592884421596e-14,TRUE,0,-6.913717603103418,0.5492847296878581,0.45307867589499984,1,1,0.985307345279646,0.803913775898471,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20713,184,ProbablyNone,0.008223310261530226,0.1125094062045553,0.03078144321481535,FALSE,0.01840664648055479,-8.659362486665426,0.8074498457215501,0.8163727397691785,1,1,0.612734263034982,0.940679041705758,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20698,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-3.641525394416093,0.4111884205225641,0.28574922706397704,0.736487341526301,1,0.813300613614504,0.937049276262006,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20634,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-2.9234470633428953,0.3087621422387519,0.2888543691171388,1,1,0.361269323267908,0.522944139683526,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20685,184,Present,0,9.547918011776346e-15,1.1102230246251565e-15,TRUE,0,-3.4305367288330326,0.529606010197363,0.3311145670319335,0.910000182443558,1,0.726320305059134,0.973429701232561,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20631,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-2.51996002596913,0.33050649477911526,0.2663526730810046,1,0.982419650424703,0.463000654041796,0.571522343636216,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20632,184,Present,0,0,0,TRUE,0,-1.7663197026649977,0.569187584013908,0.2881825581008764,0.652295014468647,0.58988006277289,0.517426480958096,0.891105593115766,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20633,184,Present,5.81756864903582e-14,7.019940184704865e-13,2.7133850721838826e-13,TRUE,0,-4.380717366995268,0.3392477841705063,0.305726684319017,1,1,0.62643280760929,0.683245553860392,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
